"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"ENF.CONT.COEN.ATDR","","Enforcing contracts: Alternative dispute resolution (0-3) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.ATFE.PR","","Enforcing contracts: Attorney fees (% of claim)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.COST.ZS","","Enforcing contracts: Cost (% of claim)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.COST.ZS.DFRN","","Enforcing contracts: Cost (% of claim) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.CSMG","","Enforcing contracts: Case management (0-6) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.CTAU","","Enforcing contracts: Court automation (0-4) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.CTFE.PR","","Enforcing contracts: Court fees (% of claim)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.CTSP.DB16","","Enforcing contracts: Court structure and proceedings (0-5) (DB16 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.CTSP.DB1719","","Enforcing contracts: Court structure and proceedings (0-5) (DB17-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.DB0415.DFRN","","Enforcing contracts (DB04-15 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.DB16.DFRN","","Enforcing contracts (DB16 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.DB1719.DFRN","","Enforcing contracts (DB17-19 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.ENFE.PR","","Enforcing contracts: Enforcement fees (% of claim)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.ENJU.DY","","Enforcing contracts: Enforcement of judgment (days)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.FLSR.DY","","Enforcing contracts: Filing and service (days)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.PROC.NO","","Enforcing contracts: Procedures (number)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.PROC.NO.DFRN","","Enforcing contracts: Procedures (number) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.QUJP.DB16.DFRN","","Enforcing contracts: Quality of the judicial processes index (0-19) (DB16 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.QUJP.DB1719.DFRN","","Enforcing contracts: Quality of the judicial processes index (0-19) (DB17-19 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.QUJP.XD","","Enforcing contracts: Quality of the judicial processes index (0-18) (DB16 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.RK.DB19","","Rank: Enforcing contracts (1=most business-friendly regulations) (DB19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.COEN.TRJU.DY","","Enforcing contracts: Trial and judgment (days)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
"ENF.CONT.DURS.DY","","Enforcing contracts: Time (days)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/enforcing-contracts","","","",
